ex_client;nom;ex_adr1_tiers_facture;adresse;ex_adr2_tiers_facture;cp;ville;ex_ville;departement;localisation;concat_localisation;latitude;longitude;adresse_concat;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_dept;result_citycode
DELIARNOUV;LES DELICES D ARNOUVILLE;LES DELICES D ARNOUVILLE;34, Avenue de la République;32  34  AVENUE DE LA REPUBLIQUE;95400;Arnouville;ARNOUVILLE LES GONESSE;95, Val-d'Oise, Île-de-France;48.979633, 2.423266;48.979633, 2.423266;48.979633;2.423266;34, Avenue de la République;34 Avenue de la République 95400 Arnouville;0.68;housenumber;ADRNIVX_0000002010754867;34;Avenue de la République;;95400.0;Arnouville;95, Val-d'Oise, Île-de-France;95019.0
RENOUD;CHOUX CHOUX;CHOUX CHOUX;16, Avenue Joseph Froment;16 AVENUE JOSEPH FROMENT;92250;La Garenne-Colombes;LA GARENNE COLOMBES;92, Hauts-de-Seine, Île-de-France;48.912211, 2.256199;48.912211, 2.256199;48.912211;2.256199;16, Avenue Joseph Froment;16 Avenue Joseph Froment 92250 La Garenne-Colombes;0.93;housenumber;ADRNIVX_0000000287102788;16;Avenue Joseph Froment;;92250.0;La Garenne-Colombes;92, Hauts-de-Seine, Île-de-France;92035.0
FOURNILMUR;LE FOURNIL DES MUREAUX;LE FOURNIL DES MUREAUX;99, Avenue du Maréchal Foch;99 AVENUE DU MARECHAL FOCH;78130;Les Mureaux;LES MUREAUX;78, Yvelines, Île-de-France;48.992786, 1.9036520000000001;48.992786, 1.903652;48.992786;1.903652;99, Avenue du Maréchal Foch;99 Avenue du Maréchal Foch 78130 Les Mureaux;0.92;housenumber;ADRNIVX_0000000269334833;99;Avenue du Maréchal Foch;;78130.0;Les Mureaux;78, Yvelines, Île-de-France;78440.0
LAD;LAD;LAD;48, Boulevard Chilpéric;48 BD CHILPERIC;77500;Chelles;CHELLES;77, Seine-et-Marne, Île-de-France;48.87485, 2.584059;48.87485, 2.584059;48.87485;2.584059;48, Boulevard Chilpéric;48 Boulevard Chilpéric 77500 Chelles;0.7;housenumber;ADRNIVX_0000000271679789;48;Boulevard Chilpéric;;77500.0;Chelles;77, Seine-et-Marne, Île-de-France;77108.0
LAURENTB;BOULANGERIE LAURENT;BOULANGERIE LAURENT;59, Boulevard de Vaugirard;59 BOULEVARD VAUGIRARD;75015;Paris;PARIS;75, Paris, Île-de-France;48.84064, 2.316289;48.84064, 2.316289;48.84064;2.316289;59, Boulevard de Vaugirard;59 Boulevard de Vaugirard 75015 Paris;0.87;housenumber;ADRNIVX_0000000270803237;59;Boulevard de Vaugirard;;75015.0;Paris;75, Paris, Île-de-France;75115.0
LEAGILLES;BOULANGERIE LEA ET GILLES;BOULANGERIE LEA ET GILLES;155, Rue d'Alesia;155 RUE D ALESIA;75014;Paris;PARIS;75, Paris, Île-de-France;48.830348, 2.319425;48.830348, 2.319425;48.830348;2.319425;155, Rue d'Alesia;155 Rue d'Alesia 75014 Paris;0.95;housenumber;ADRNIVX_0000000270817036;155;Rue d'Alesia;;75014.0;Paris;75, Paris, Île-de-France;75114.0
FABRIQUE;LA FABRIQUE A PAIN;LA FABRIQUE A PAIN;2, Boulevard Clemenceau;2 BLD CLEMENCEAU;95240;Cormeilles-en-Parisis;CORMEILLES EN PARISIS;95, Val-d'Oise, Île-de-France;48.9699, 2.194429;48.9699, 2.194429;48.9699;2.194429;2, Boulevard Clemenceau;2 Boulevard Clemenceau 95240 Cormeilles-en-Parisis;0.75;housenumber;ADRNIVX_0000000350463338;2;Boulevard Clemenceau;;95240.0;Cormeilles-en-Parisis;95, Val-d'Oise, Île-de-France;95176.0
BUISSON91;CHEZ CELINE ET FRANCK;BUISSON FRANCK;1, Place Charles de Gaulle;1 PLACE DU GENEREAL DE GAULLE;91790;Boissy-sous-Saint-Yon;BOISSY SOUS SAINT YON;91, Essonne, Île-de-France;48.558746, 2.209312;48.558746, 2.209312;48.558746;2.209312;1, Place Charles de Gaulle;1 Place Charles de Gaulle 91790 Boissy-sous-Saint-Yon;0.63;housenumber;ADRNIVX_0000000271535189;1;Place Charles de Gaulle;;91790.0;Boissy-sous-Saint-Yon;91, Essonne, Île-de-France;91085.0
MANSOURI;LES CINQ REINES;LES CINQ REINES;4, Rue du Général Leclerc;4 AVENUE DU GENERAL LECLEC;94220;Charenton-le-Pont;CHARENTON LE PONT;94, Val-de-Marne, Île-de-France;48.822423, 2.414372;48.822423, 2.414372;48.822423;2.414372;4, Rue du Général Leclerc;4 Rue du Général Leclerc 94220 Charenton-le-Pont;0.75;housenumber;ADRNIVX_0000000270888878;4;Rue du Général Leclerc;;94220.0;Charenton-le-Pont;94, Val-de-Marne, Île-de-France;94018.0
MENIER;MENIER TRADITION;MENIER TRADITION;30, Boulevard Diderot;30 BOULEVARD DIDEROT;75012;Paris;PARIS;75, Paris, Île-de-France;48.846006, 2.376379;48.846006, 2.376379;48.846006;2.376379;30, Boulevard Diderot;30 Boulevard Diderot 75012 Paris;0.95;housenumber;ADRNIVX_0000000270794787;30;Boulevard Diderot;;75012.0;Paris;75, Paris, Île-de-France;75112.0
