ex_client;nom;ex_adr1_tiers_facture;adresse;ex_adr2_tiers_facture;cp;ville;ex_ville;departement;localisation;concat_localisation;latitude;longitude;adresse_concat;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_dept;result_citycode
MATFLORE;MAT FLORE;MAT FLORE;56, Rue d'Auteuil;56 RUE D AUTEUIL;75016;Paris;PARIS;75, Paris, Île-de-France;48.848037, 2.262325;48.848037, 2.262325;48.848037;2.262325;56, Rue d'Auteuil;56 Rue d'Auteuil 75016 Paris;0.95;housenumber;ADRNIVX_0000000270790520;56;Rue d'Auteuil;;75016.0;Paris;75, Paris, Île-de-France;75116.0
PETITVINCE;BOULANGERIE PETIT LAVAL;BOULANGERIE PETIT;6, Rue Clément Vienot;2 4 6  RUE CLEMENT VIENOT;94300;Vincennes;VINCENNES;94, Val-de-Marne, Île-de-France;48.847595, 2.451119;48.847595, 2.451119;48.847595;2.451119;6, Rue Clément Vienot;6 Rue Clément Vienot 94300 Vincennes;0.83;housenumber;ADRNIVX_0000000270863882;6;Rue Clément Vienot;;94300.0;Vincennes;94, Val-de-Marne, Île-de-France;94080.0
HAUMESSER;LA PTITE BASQUIE;LA PTITE BASQUIE;41, Rue des Bourguignons;41 RUE DES BOURGUIGNON;92270;Bois-Colombes;BOIS COLOMBES;92, Hauts-de-Seine, Île-de-France;48.913954, 2.273681;48.913954, 2.273681;48.913954;2.273681;41, Rue des Bourguignons;41 Rue des Bourguignons 92270 Bois-Colombes;0.86;housenumber;ADRNIVX_0000000287088848;41;Rue des Bourguignons;;92270.0;Bois-Colombes;92, Hauts-de-Seine, Île-de-France;92009.0
GUICHARD;LPG91;LPG91;2, Rue Valentin Conrard;2 RUE VALENTIN CONRART;91200;Athis-Mons;ATHIS MONS;91, Essonne, Île-de-France;48.708097, 2.388388;48.708097, 2.388388;48.708097;2.388388;2, Rue Valentin Conrard;2 Rue Valentin Conrard 91200 Athis-Mons;0.83;housenumber;ADRNIVX_0000000271307436;2;Rue Valentin Conrard;;91200.0;Athis-Mons;91, Essonne, Île-de-France;91027.0
SCHOU;ADG;;96, Rue de la Faisanderie;96 RUE DE LA FAISANDERIE;75016;Paris;PARIS;75, Paris, Île-de-France;48.866283, 2.274129;48.866283, 2.274129;48.866283;2.274129;96, Rue de la Faisanderie;96 Rue de la Faisanderie 75016 Paris;0.95;housenumber;ADRNIVX_0000000270756367;96;Rue de la Faisanderie;;75016.0;Paris;75, Paris, Île-de-France;75116.0
DUBOISA;LE COEUR GOURMAND;LE COEUR GOURMAND;35, Rue de Paris;35 RUE DE PARIS;95270;Viarmes;VIARMES;95, Val-d'Oise, Île-de-France;49.126904, 2.370109;49.126904, 2.370109;49.126904;2.370109;35, Rue de Paris;35 Rue de Paris 95270 Viarmes;0.93;housenumber;ADRNIVX_0000000350711930;35;Rue de Paris;;95270.0;Viarmes;95, Val-d'Oise, Île-de-France;95652.0
RACOILLET;AU COEUR DE MA PASSION;AU COEUR DE MA PASSION;50 Bis, Rue de Douai;50 BIS RUE DE DOUAI;75009;Paris;PARIS;75, Paris, Île-de-France;48.88323, 2.3308780000000002;48.88323, 2.330878;48.88323;2.330878;50 BIS, Rue de Douai;50 BIS Rue de Douai 75009 Paris;0.95;housenumber;ADRNIVX_0000000270724550;50 BIS;Rue de Douai;;75009.0;Paris;75, Paris, Île-de-France;75109.0
TEJY;TEJY;TEJY;10, Rue de Colombes;10 RUE DE COLOMBES;92400;Courbevoie;COURBEVOIE;92, Hauts-de-Seine, Île-de-France;48.89736, 2.256616;48.89736, 2.256616;48.89736;2.256616;10, Rue de Colombes;10 Rue de Colombes 92400 Courbevoie;0.93;housenumber;ADRNIVX_0000000287117088;10;Rue de Colombes;;92400.0;Courbevoie;92, Hauts-de-Seine, Île-de-France;92026.0
HAKIM;HAKIM FRERES;HAKIM FRERES;60, Rue de la Coutellerie;60 RUE DE LA COUTELLERIE;95300;Pontoise;PONTOISE;95, Val-d'Oise, Île-de-France;49.049881, 2.092314;49.049881, 2.092314;49.049881;2.092314;60, Rue de la Coutellerie;60 Rue de la Coutellerie 95300 Pontoise;0.94;housenumber;ADRNIVX_0000000350571421;60;Rue de la Coutellerie;;95300.0;Pontoise;95, Val-d'Oise, Île-de-France;95500.0
MOUSSETT;TANGO;TANGO;2, Avenue de Verdun;2 AVENUE DE VERDUN;95150;Taverny;TAVERNY;95, Val-d'Oise, Île-de-France;49.016324, 2.209137;49.016324, 2.209137;49.016324;2.209137;2, Avenue de Verdun;2 Avenue de Verdun 95150 Taverny;0.92;housenumber;ADRNIVX_0000000350591033;2;Avenue de Verdun;;95150.0;Taverny;95, Val-d'Oise, Île-de-France;95607.0
BONOIT;AU PALAIS BONOIT;AU PALAIS BONOIT;92, Boulevard Édouard Vaillant;92 BOULEVARD EDOUARD VAILLANT;93300;Aubervilliers;AUBERVILLIERS;93, Seine-Saint-Denis, Île-de-France;48.918214, 2.400371;48.918214, 2.400371;48.918214;2.400371;92, Boulevard Édouard Vaillant;92 Boulevard Édouard Vaillant 93300 Aubervilliers;0.93;housenumber;ADRNIVX_0000000268216593;92;Boulevard Édouard Vaillant;;93300.0;Aubervilliers;93, Seine-Saint-Denis, Île-de-France;93001.0
AUPEREPET;CHEVRIEUX AU PERE PETRIN;CHEVRIEUX AU PERE PETRIN;4 Bis, Boulevard Devaux;4B BOULEVARD DEVAUX;78300;Poissy;POISSY;78, Yvelines, Île-de-France;48.929366, 2.043903;48.929366, 2.043903;48.929366;2.043903;4 BIS, Boulevard Devaux;4 BIS Boulevard Devaux 78300 Poissy;0.84;housenumber;ADRNIVX_0000000358848158;4 BIS;Boulevard Devaux;;78300.0;Poissy;78, Yvelines, Île-de-France;78498.0
TOURARGENT;LES COMPTOIRS DE LA TOUR;TOUR D ARGENT;15, Quai de la Tournelle;15 QUAI DE LA TOURNELLE;75005;Paris;PARIS;75, Paris, Île-de-France;48.8499, 2.355089;48.8499, 2.355089;48.8499;2.355089;15, Quai de la Tournelle;15 Quai de la Tournelle 75005 Paris;0.94;housenumber;ADRNIVX_0000000270787451;15;Quai de la Tournelle;;75005.0;Paris;75, Paris, Île-de-France;75105.0
PITORSON;TOP SUCRE;TOP SUCRE;38, Avenue Franklin Roosevelt;38 AVENUE FRANKLIN ROOSEVELT;94300;Vincennes;VINCENNES;94, Val-de-Marne, Île-de-France;48.843888, 2.431561;48.843888, 2.431561;48.843888;2.431561;38, Avenue Franklin Roosevelt;38 Avenue Franklin Roosevelt 94300 Vincennes;0.93;housenumber;ADRNIVX_0000000270868902;38;Avenue Franklin Roosevelt;;94300.0;Vincennes;94, Val-de-Marne, Île-de-France;94080.0
AUXMILLE;AUX MILLE DOUCEURS;AUX MILLE DOUCEURS;17, Boulevard de Verdun;17 BLD DE VERDUN;94120;Fontenay-sous-Bois;FONTENAY SOUS BOIS;94, Val-de-Marne, Île-de-France;48.851727, 2.47312;48.851727, 2.47312;48.851727;2.47312;17, Boulevard de Verdun;17 Boulevard de Verdun 94120 Fontenay-sous-Bois;0.74;housenumber;ADRNIVX_0000000270857951;17;Boulevard de Verdun;;94120.0;Fontenay-sous-Bois;94, Val-de-Marne, Île-de-France;94033.0
BARBEY;BARBEY;;3, Rue Louis Jacques Mezard;3 RUE LOUIS MEZARD;91600;Savigny-sur-Orge;SAVIGNY SUR ORGE;91, Essonne, Île-de-France;48.676288, 2.353119;48.676288, 2.353119;48.676288;2.353119;3, Rue Louis Jacques Mezard;3 Rue Louis Jacques Mezard 91600 Savigny-sur-Orge;0.77;housenumber;ADRNIVX_0000000271396928;3;Rue Louis Jacques Mezard;;91600.0;Savigny-sur-Orge;91, Essonne, Île-de-France;91589.0
